Time,TempC,C3,C5,C7,E3,E5,E7,G3,G5,G7,I3,I5,I7
594.03,29,1527,1686,1572,2240,2159,2350,440,496,425,20,21,8
596.03,29,1534,1676,1568,2248,2131,2376,454,489,436,11,26,10
598.03,29.1,1558,1686,1549,2270,2100,2349,449,490,438,18,22,10
600.03,29,1547,1702,1579,2294,2151,2353,461,511,437,11,21,5
602.03,29,1576,1714,1605,2270,2186,2399,459,505,434,18,13,4
604.03,29,1570,1690,1616,2277,2176,2424,467,502,453,13,22,9
606.03,29,1562,1711,1599,2293,2207,2418,458,502,455,15,21,11
608.03,29,1569,1742,1576,2318,2155,2379,465,505,441,14,18,7
610.03,29,1589,1730,1602,2297,2156,2410,470,516,461,18,21,8
612.03,29.1,1597,1715,1589,2305,2207,2421,475,509,455,19,16,10
614.03,28.9,1592,1739,1637,2357,2221,2443,474,514,469,17,21,11
616.03,29,1606,1733,1646,2341,2203,2434,482,519,469,19,14,4
618.03,29,1620,1740,1614,2337,2219,2443,475,514,468,18,29,8
620.03,29.1,1617,1734,1661,2331,2237,2448,493,526,463,16,14,0
622.03,29,1599,1752,1633,2345,2251,2457,479,534,458,15,18,6
624.03,29,1649,1769,1671,2372,2248,2474,474,537,465,14,9,2
626.03,29,1604,1754,1656,2365,2253,2461,497,530,480,16,23,9
628.03,29.1,1649,1778,1647,2375,2264,2506,487,526,468,16,12,7
630.03,29.1,1669,1786,1650,2347,2253,2476,502,557,479,13,14,9
632.03,29.1,1646,1765,1665,2419,2276,2491,506,542,481,22,21,11
634.03,29,1646,1831,1664,2382,2252,2521,499,547,486,14,19,7
636.03,29,1659,1787,1672,2396,2296,2491,512,538,487,14,17,8
638.03,29,1638,1789,1664,2418,2261,2512,505,544,489,19,21,5
640.03,29,1676,1813,1695,2409,2298,2550,513,557,491,19,22,10
642.03,29,1672,1782,1683,2374,2310,2542,496,557,484,10,20,12
644.03,29,1660,1802,1722,2410,2312,2540,515,541,477,14,10,11
646.03,29,1690,1806,1692,2429,2306,2554,518,556,491,14,23,5
648.03,29,1674,1825,1701,2455,2330,2524,520,554,504,7,19,17
650.03,29,1678,1833,1703,2406,2317,2568,520,565,507,16,21,7
652.03,29.1,1677,1820,1694,2412,2365,2550,521,571,494,9,17,13
654.03,29,1691,1819,1708,2431,2339,2580,533,568,492,15,17,5
656.03,29,1703,1820,1715,2471,2363,2578,525,556,503,19,21,6
658.03,29,1692,1834,1736,2444,2338,2575,533,565,510,12,18,8
660.03,29,1698,1842,1722,2447,2367,2597,533,566,506,19,23,8
662.03,29,1695,1863,1720,2504,2367,2612,532,566,509,10,22,5
664.03,29.1,1723,1857,1748,2469,2363,2637,536,561,519,13,26,11
666.03,29,1717,1841,1726,2474,2354,2596,544,567,514,16,25,6
668.03,29.1,1726,1874,1725,2483,2374,2596,538,572,530,18,19,0
670.03,28.9,1719,1876,1741,2493,2395,2603,536,581,515,13,25,7
672.03,29.1,1735,1847,1747,2516,2372,2600,552,565,525,23,14,8
674.03,29,1712,1830,1771,2540,2369,2643,537,582,509,19,22,4
676.03,29,1752,1883,1770,2490,2378,2620,568,588,525,15,17,10
678.03,29,1737,1839,1792,2517,2392,2665,550,594,533,24,24,10
680.03,29.1,1741,1870,1774,2495,2421,2684,553,599,537,26,21,8
682.03,29,1724,1895,1782,2523,2413,2674,555,603,538,6,19,5
684.03,29.1,1744,1885,1791,2534,2421,2636,557,583,520,18,18,0
686.03,29.1,1754,1882,1782,2576,2419,2660,552,598,530,18,25,11
688.03,29,1763,1866,1778,2528,2426,2664,553,609,530,23,15,1
690.03,29,1761,1901,1774,2520,2430,2684,553,603,546,9,15,8
692.03,29,1770,1909,1777,2556,2405,2680,566,604,547,17,16,7
694.03,29,1766,1887,1786,2552,2443,2702,561,604,549,15,19,8
696.03,29.1,1747,1927,1794,2558,2478,2671,556,597,541,19,20,10
698.03,29,1780,1889,1804,2576,2426,2703,578,610,551,15,18,9
700.03,29,1786,1918,1790,2568,2476,2652,564,607,529,17,20,6
702.03,29.1,1809,1906,1806,2614,2512,2726,580,606,531,21,26,11
704.03,29,1776,1936,1824,2590,2456,2715,569,613,536,10,17,10
706.03,29,1824,1940,1808,2631,2466,2676,569,617,545,15,18,9
708.03,29,1795,1941,1800,2614,2508,2698,581,616,546,17,24,9
710.03,29,1796,1921,1849,2567,2505,2748,587,620,547,12,22,7
712.03,29.1,1815,1952,1819,2623,2442,2727,588,619,550,15,23,8
714.03,29,1815,1944,1837,2665,2472,2697,609,614,558,14,19,9
716.03,29.1,1812,1933,1806,2620,2503,2729,585,612,566,12,31,8
718.03,29,1817,1936,1831,2638,2520,2767,607,634,555,19,21,11
720.03,29,1818,1937,1832,2663,2497,2719,600,617,545,22,15,9
