"","run.order","std.order","x1","x2","x3","x4","x5","x6"
"22.3",130,130,1,-1,1,-1,1,-1
"22.4",131,131,1,-1,1,-1,1,-1
"22.5",132,132,1,-1,1,-1,1,-1
"23",133,133,-1,1,1,-1,1,-1
"23.1",134,134,-1,1,1,-1,1,-1
"23.2",135,135,-1,1,1,-1,1,-1
"23.3",136,136,-1,1,1,-1,1,-1
"23.4",137,137,-1,1,1,-1,1,-1
"23.5",138,138,-1,1,1,-1,1,-1
"24",139,139,1,1,1,-1,1,-1
"24.1",140,140,1,1,1,-1,1,-1
"24.2",141,141,1,1,1,-1,1,-1
"24.3",142,142,1,1,1,-1,1,-1
"24.4",143,143,1,1,1,-1,1,-1
"24.5",144,144,1,1,1,-1,1,-1
"25",145,145,-1,-1,-1,1,1,-1
"25.1",146,146,-1,-1,-1,1,1,-1
"25.2",147,147,-1,-1,-1,1,1,-1
"25.3",148,148,-1,-1,-1,1,1,-1
"25.4",149,149,-1,-1,-1,1,1,-1
"25.5",150,150,-1,-1,-1,1,1,-1
"26",151,151,1,-1,-1,1,1,-1
"26.1",152,152,1,-1,-1,1,1,-1
"26.2",153,153,1,-1,-1,1,1,-1
"26.3",154,154,1,-1,-1,1,1,-1
"26.4",155,155,1,-1,-1,1,1,-1
"26.5",156,156,1,-1,-1,1,1,-1
"27",157,157,-1,1,-1,1,1,-1
"27.1",158,158,-1,1,-1,1,1,-1
"27.2",159,159,-1,1,-1,1,1,-1
"27.3",160,160,-1,1,-1,1,1,-1
"27.4",161,161,-1,1,-1,1,1,-1
"27.5",162,162,-1,1,-1,1,1,-1
"28",163,163,1,1,-1,1,1,-1
"28.1",164,164,1,1,-1,1,1,-1
"28.2",165,165,1,1,-1,1,1,-1
"28.3",166,166,1,1,-1,1,1,-1
"28.4",167,167,1,1,-1,1,1,-1
"28.5",168,168,1,1,-1,1,1,-1
"29",169,169,-1,-1,1,1,1,-1
"29.1",170,170,-1,-1,1,1,1,-1
"29.2",171,171,-1,-1,1,1,1,-1
"29.3",172,172,-1,-1,1,1,1,-1
"29.4",173,173,-1,-1,1,1,1,-1
"29.5",174,174,-1,-1,1,1,1,-1
"30",175,175,1,-1,1,1,1,-1
"30.1",176,176,1,-1,1,1,1,-1
"30.2",177,177,1,-1,1,1,1,-1
"30.3",178,178,1,-1,1,1,1,-1
"30.4",179,179,1,-1,1,1,1,-1
"30.5",180,180,1,-1,1,1,1,-1
"31",181,181,-1,1,1,1,1,-1
"31.1",182,182,-1,1,1,1,1,-1
"31.2",183,183,-1,1,1,1,1,-1
"31.3",184,184,-1,1,1,1,1,-1
"31.4",185,185,-1,1,1,1,1,-1
"31.5",186,186,-1,1,1,1,1,-1
"32",187,187,1,1,1,1,1,-1
"32.1",188,188,1,1,1,1,1,-1
"32.2",189,189,1,1,1,1,1,-1
"32.3",190,190,1,1,1,1,1,-1
"32.4",191,191,1,1,1,1,1,-1
"32.5",192,192,1,1,1,1,1,-1
"33",193,193,-1,-1,-1,-1,-1,1
"33.1",194,194,-1,-1,-1,-1,-1,1
"33.2",195,195,-1,-1,-1,-1,-1,1
"33.3",196,196,-1,-1,-1,-1,-1,1
"33.4",197,197,-1,-1,-1,-1,-1,1
"33.5",198,198,-1,-1,-1,-1,-1,1
"34",199,199,1,-1,-1,-1,-1,1
"34.1",200,200,1,-1,-1,-1,-1,1
"34.2",201,201,1,-1,-1,-1,-1,1
"34.3",202,202,1,-1,-1,-1,-1,1
"34.4",203,203,1,-1,-1,-1,-1,1
"34.5",204,204,1,-1,-1,-1,-1,1
"35",205,205,-1,1,-1,-1,-1,1
"35.1",206,206,-1,1,-1,-1,-1,1
"35.2",207,207,-1,1,-1,-1,-1,1
"35.3",208,208,-1,1,-1,-1,-1,1
"35.4",209,209,-1,1,-1,-1,-1,1
"35.5",210,210,-1,1,-1,-1,-1,1
"36",211,211,1,1,-1,-1,-1,1
"36.1",212,212,1,1,-1,-1,-1,1
"36.2",213,213,1,1,-1,-1,-1,1
"36.3",214,214,1,1,-1,-1,-1,1
"36.4",215,215,1,1,-1,-1,-1,1
"36.5",216,216,1,1,-1,-1,-1,1
"37",217,217,-1,-1,1,-1,-1,1
"37.1",218,218,-1,-1,1,-1,-1,1
"37.2",219,219,-1,-1,1,-1,-1,1
"37.3",220,220,-1,-1,1,-1,-1,1
"37.4",221,221,-1,-1,1,-1,-1,1
"37.5",222,222,-1,-1,1,-1,-1,1
"38",223,223,1,-1,1,-1,-1,1
"38.1",224,224,1,-1,1,-1,-1,1
"38.2",225,225,1,-1,1,-1,-1,1
"38.3",226,226,1,-1,1,-1,-1,1
"38.4",227,227,1,-1,1,-1,-1,1
"38.5",228,228,1,-1,1,-1,-1,1
"39",229,229,-1,1,1,-1,-1,1
"39.1",230,230,-1,1,1,-1,-1,1
"39.2",231,231,-1,1,1,-1,-1,1
"39.3",232,232,-1,1,1,-1,-1,1
"39.4",233,233,-1,1,1,-1,-1,1
"39.5",234,234,-1,1,1,-1,-1,1
"40",235,235,1,1,1,-1,-1,1
"40.1",236,236,1,1,1,-1,-1,1
"40.2",237,237,1,1,1,-1,-1,1
"40.3",238,238,1,1,1,-1,-1,1
"40.4",239,239,1,1,1,-1,-1,1
"40.5",240,240,1,1,1,-1,-1,1
